code,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
7622201809638,0.564705882352941,Moderate,Moderate Sugar,Yes
4056489028109,0.962025316455696,Low,Moderate Sugar,No
5000436857112,0.121951219512195,Moderate,Low Sugar,Yes
5060283762199,0.0163934426229508,High,Low Sugar,No
6111021090100,0.379746835443038,Moderate,Moderate Sugar,No
3228021170039,-1.0,High,Low Sugar,No
5010029226188,0.276923076923077,High,High Sugar,No
8052575090292,0.963636363636364,High,High Sugar,Yes
5010029229035,0.242857142857143,Moderate,Moderate Sugar,Yes
6111099000582,-1.0,High,Low Sugar,No
6111101001361,0.9,Low,Low Sugar,Yes
3182180001477,0.025,High,Low Sugar,Yes
8445290133403,0.951837769328263,High,High Sugar,Yes
5010044002552,0.0654911838790932,High,Low Sugar,Yes
5000436589457,1.0,Low,Low Sugar,Yes
6111242070783,0.271523178807947,High,Low Sugar,Yes
6923818881323,0.607692307692308,High,High Sugar,Yes
3608580124108,0.666666666666667,High,Moderate Sugar,Yes
3175681066632,0.242424242424242,High,High Sugar,Yes
5053990127726,0.025,High,Low Sugar,Yes
5000295008069,1.0,High,Low Sugar,Yes
5010265002836,0.0416666666666667,Low,Low Sugar,No
5060337221085,0.840909090909091,Low,Low Sugar,No
5060088706534,0.851138353765324,Moderate,High Sugar,Yes
5201054017531,1.0,Low,Low Sugar,No
5740900404540,1.0,High,Low Sugar,No
3228857002344,0.0837209302325581,High,Low Sugar,Yes
6111031005538,0.690909090909091,High,High Sugar,Yes
8480000168832,0.45,High,Moderate Sugar,No
5449000008046,1.0,Moderate,High Sugar,Yes
3045320094084,1.0,High,High Sugar,Yes
7613036669146,0.311203319502075,High,High Sugar,Yes
3608580065371,0.962264150943396,High,High Sugar,Yes
6111032002888,0.612244897959184,Low,Moderate Sugar,Yes
5010003000339,0.105960264900662,Low,Low Sugar,Yes
6111005054081,0.0,Low,Low Sugar,Yes
3302740087042,0.0454545454545455,Moderate,Low Sugar,Yes
7622210713889,0.417910447761194,High,High Sugar,Yes
5010092093441,0.208333333333333,Low,Low Sugar,Yes
4088600072517,0.331034482758621,Low,Low Sugar,Yes
5013683305589,0.19,High,Low Sugar,No
612322000127,0.02,Low,Low Sugar,No
5060198642760,0.051063829787234,High,Low Sugar,No
7613034626844,0.304347826086957,High,High Sugar,Yes
7622210421968,0.6,High,High Sugar,Yes
3182180002115,0.112307692307692,High,Moderate Sugar,Yes
6111245370064,0.271523178807947,High,Low Sugar,Yes
5060043224561,0.051056338028169,High,Low Sugar,Yes
7622210713780,0.409090909090909,High,High Sugar,Yes
3068320114453,-1.0,Low,Low Sugar,No
3155250364772,-1.0,High,Low Sugar,Yes
8076809513746,0.561224489795918,High,Moderate Sugar,Yes
9002490100070,1.0,Low,Moderate Sugar,Yes
5060283760072,0.2,High,Moderate Sugar,Yes
5010044000251,0.0650887573964497,Moderate,Low Sugar,Yes
